month,_5th_pct_price_paid,_95th_pct_price_paid,median_price_paid,avg_price_paid,sales
2017-11-01,69000,729950,222500,255929.86,83586
2017-12-01,73000,745000,229950,261823.24,83632
2018-01-01,66000,775000,225000,261074.52,62796
2018-02-01,67000,740000,222000,256027.61,64092
2018-03-01,67000,755000,224995,257858.09,75257
2018-04-01,68000,745000,224000,257040.02,64537
2018-05-01,70000,720000,225000,256650.16,72836
2018-06-01,73000,725000,230000,262479.27,84872
2018-07-01,73000,775000,235000,271161.02,78412
2018-08-01,74136,745000,236000,269185.84,88882
2018-09-01,76000,765000,236000,270568.02,70458
2018-10-01,73000,725000,230000,262535.79,76451
2018-11-01,74000,720000,227000,258551.64,77901
2018-12-01,75000,705000,227500,257669.15,58476
2019-01-01,69000,770000,230000,264408.26,22095
